iter	Passed	Remaining
0	4	445
1	8	413
2	12	400
3	15	378
4	19	378
5	24	378
6	26	350
7	28	326
8	30	307
9	32	291
10	34	278
11	36	267
12	38	257
13	40	248
14	42	241
15	44	234
16	47	230
17	49	225
18	51	221
19	54	217
20	57	214
21	59	209
22	61	205
23	63	200
24	65	196
25	67	192
26	69	189
27	71	185
28	74	181
29	76	177
30	78	174
31	80	170
32	82	167
33	84	164
34	86	160
35	88	157
36	90	154
37	92	151
38	95	148
39	97	145
40	99	142
41	100	138
42	102	135
43	104	132
44	106	129
45	108	126
46	110	124
47	112	122
48	115	119
49	116	116
50	118	114
51	121	111
52	123	109
53	125	106
54	126	103
55	128	100
56	130	98
57	132	96
58	134	93
59	136	91
60	138	88
61	140	86
62	142	83
63	145	81
64	147	79
65	149	77
66	151	74
67	154	72
68	156	70
69	158	67
70	160	65
71	162	63
72	164	60
73	166	58
74	168	56
75	171	54
76	173	51
77	175	49
78	177	47
79	179	44
80	181	42
81	183	40
82	185	37
83	187	35
84	189	33
85	191	31
86	193	28
87	196	26
88	198	24
89	200	22
90	202	20
91	204	17
92	206	15
93	209	13
94	211	11
95	213	8
96	215	6
97	217	4
98	220	2
99	222	0
