iter	Passed	Remaining
0	100	100630
1	102	51392
2	105	34943
3	107	26683
4	109	21802
5	111	18540
6	114	16203
7	116	14497
8	119	13157
9	121	12058
10	124	11172
11	126	10421
12	131	10014
13	134	9462
14	136	8987
15	139	8576
16	141	8198
17	146	7998
18	149	7699
19	151	7424
20	153	7176
21	156	6957
22	160	6815
23	162	6628
24	165	6443
25	167	6287
26	170	6132
27	172	5987
28	177	5956
29	180	5831
30	182	5719
31	185	5605
32	187	5500
33	192	5476
34	195	5380
35	197	5287
36	199	5197
37	202	5116
38	206	5100
39	209	5027
40	211	4957
41	214	4892
42	217	4834
43	220	4780
44	223	4740
45	225	4682
46	228	4628
47	230	4573
48	232	4521
49	238	4527
50	240	4482
51	243	4435
52	245	4389
53	248	4347
54	253	4350
55	255	4306
56	257	4264
57	260	4223
58	262	4182
59	264	4143
60	268	4136
61	271	4103
62	273	4071
63	275	4035
64	278	4000
65	280	3963
66	284	3957
67	286	3921
68	288	3886
69	289	3852
70	291	3818
71	293	3786
72	295	3755
73	298	3730
74	300	3701
75	302	3672
76	303	3643
77	305	3615
78	307	3588
79	311	3584
80	313	3560
81	315	3534
82	316	3499
83	318	3475
84	320	3451
85	322	3428
86	325	3414
87	327	3396
88	329	3374
89	331	3352
90	333	3330
91	335	3310
92	337	3292
93	341	3295
94	344	3277
95	346	3258
96	347	3238
97	349	3219
98	351	3200
99	353	3183
100	355	3167
101	357	3149
102	359	3133
103	361	3116
104	363	3101
105	366	3087
106	370	3090
107	372	3076
108	374	3061
109	376	3046
110	378	3031
111	380	3015
112	384	3020
113	386	3007
114	388	2993
115	390	2978
116	392	2961
117	394	2948
118	396	2934
119	400	2935
120	402	2922
121	403	2906
122	405	2893
123	408	2882
124	410	2870
125	411	2857
126	416	2859
127	418	2848
128	420	2837
129	422	2826
130	424	2814
131	426	2803
132	431	2810
133	433	2799
134	435	2789
135	437	2778
136	439	2766
137	441	2756
138	445	2759
139	447	2750
140	450	2742
141	451	2727
142	453	2717
143	455	2707
144	457	2697
145	462	2702
146	464	2692
147	465	2682
148	467	2672
149	470	2663
150	471	2653
151	476	2656
152	478	2648
153	480	2639
154	482	2629
155	484	2620
156	486	2611
157	488	2602
158	492	2604
159	494	2595
160	495	2583
161	497	2574
162	499	2565
163	501	2556
164	503	2548
165	507	2549
166	509	2542
167	511	2535
168	514	2529
169	517	2525
170	519	2520
171	523	2520
172	526	2515
173	528	2508
174	530	2502
175	533	2495
176	537	2500
177	540	2494
178	542	2490
179	545	2484
180	547	2477
181	552	2483
182	555	2479
183	558	2474
184	560	2469
185	562	2462
186	565	2457
187	568	2456
188	571	2450
189	573	2444
190	576	2440
191	578	2435
192	583	2439
193	585	2433
194	588	2427
195	590	2421
196	592	2414
197	594	2408
198	600	2415
199	602	2411
200	605	2405
201	607	2400
202	610	2395
203	615	2400
204	617	2394
205	619	2388
206	622	2383
207	624	2377
208	629	2382
209	632	2380
210	635	2377
211	638	2375
212	644	2382
213	647	2379
214	650	2375
215	653	2371
216	656	2367
217	659	2364
218	662	2362
219	665	2358
220	668	2354
221	672	2358
222	675	2353
223	677	2348
224	680	2342
225	682	2337
226	685	2335
227	689	2335
228	692	2331
229	694	2326
230	697	2320
231	702	2325
232	705	2321
233	707	2315
234	709	2310
235	711	2304
236	714	2299
237	719	2302
238	721	2296
239	723	2291
240	725	2286
241	728	2281
242	733	2284
243	735	2280
244	738	2275
245	740	2270
246	742	2264
247	745	2259
248	749	2261
249	751	2255
250	754	2251
251	756	2246
252	759	2241
253	763	2241
254	765	2236
255	767	2231
256	769	2226
257	772	2220
258	774	2216
259	780	2220
260	782	2215
261	784	2210
262	787	2205
263	789	2201
264	794	2203
265	796	2198
266	798	2192
267	800	2186
268	802	2180
269	804	2175
270	806	2169
271	810	2169
272	812	2163
273	814	2158
274	816	2153
275	819	2149
276	822	2147
277	825	2145
278	828	2141
279	830	2136
280	833	2132
281	835	2128
282	840	2129
283	842	2124
284	845	2120
285	847	2115
286	849	2110
287	851	2105
288	856	2106
289	858	2101
290	860	2096
291	862	2092
292	865	2087
293	867	2082
294	870	2081
295	873	2076
296	875	2072
297	877	2067
298	879	2062
299	881	2057
300	885	2057
301	888	2053
302	890	2049
303	892	2044
304	895	2039
305	899	2040
306	903	2038
307	906	2035
308	908	2032
309	911	2029
310	917	2033
311	920	2029
312	923	2026
313	926	2023
314	931	2025
315	934	2022
316	941	2029
317	947	2033
318	952	2034
319	955	2031
320	958	2028
321	962	2025
322	964	2022
323	967	2019
324	971	2018
325	976	2018
326	979	2015
327	982	2012
328	987	2014
329	990	2011
330	993	2008
331	996	2004
332	999	2001
333	1004	2003
334	1007	2000
335	1012	2001
336	1018	2004
337	1021	2001
338	1024	1998
339	1027	1994
340	1033	1997
341	1036	1994
342	1040	1992
343	1043	1989
344	1052	1997
345	1055	1995
346	1058	1992
347	1061	1988
348	1064	1985
349	1067	1982
350	1069	1978
351	1072	1974
352	1078	1976
353	1081	1973
354	1087	1976
355	1090	1973
356	1094	1971
357	1097	1968
358	1101	1966
359	1104	1963
360	1108	1961
361	1111	1958
362	1114	1956
363	1120	1958
364	1123	1955
365	1126	1952
366	1129	1947
367	1131	1943
368	1137	1944
369	1140	1941
370	1142	1937
371	1145	1933
372	1147	1929
373	1153	1930
374	1156	1927
375	1159	1924
376	1162	1920
377	1169	1923
378	1172	1921
379	1175	1918
380	1179	1916
381	1183	1915
382	1187	1912
383	1189	1908
384	1192	1904
385	1198	1905
386	1200	1901
387	1202	1896
388	1205	1892
389	1208	1889
390	1211	1886
391	1214	1884
392	1217	1880
393	1220	1876
394	1225	1876
395	1227	1872
396	1230	1869
397	1233	1866
398	1239	1867
399	1242	1864
400	1245	1860
401	1248	1857
402	1251	1854
403	1257	1855
404	1262	1855
405	1265	1851
406	1271	1852
407	1274	1848
408	1276	1845
409	1279	1841
410	1282	1838
411	1288	1838
412	1290	1834
413	1293	1831
414	1302	1835
415	1305	1832
416	1309	1830
417	1312	1827
418	1319	1829
419	1322	1826
420	1325	1822
421	1328	1819
422	1333	1818
423	1336	1815
424	1338	1811
425	1341	1807
426	1355	1818
427	1357	1814
428	1360	1810
429	1366	1811
430	1369	1807
431	1371	1803
432	1374	1799
433	1387	1809
434	1390	1806
435	1393	1802
436	1398	1802
437	1401	1798
438	1404	1794
439	1407	1790
440	1413	1791
441	1417	1789
442	1420	1785
443	1422	1781
444	1427	1780
445	1430	1777
446	1433	1773
447	1436	1770
448	1439	1766
449	1443	1764
450	1446	1761
451	1452	1760
452	1458	1761
453	1461	1757
454	1464	1753
455	1466	1749
456	1468	1745
457	1473	1743
458	1475	1739
459	1477	1734
460	1480	1730
461	1482	1726
462	1484	1721
463	1489	1720
464	1491	1716
465	1493	1711
466	1496	1707
467	1498	1703
468	1500	1698
469	1505	1697
470	1507	1693
471	1509	1689
472	1512	1684
473	1514	1680
474	1516	1676
475	1519	1672
476	1521	1667
477	1523	1663
478	1525	1659
479	1527	1654
480	1529	1650
481	1533	1648
482	1536	1644
483	1538	1639
484	1540	1635
485	1542	1631
486	1544	1627
487	1549	1625
488	1551	1621
489	1553	1617
490	1555	1613
491	1558	1608
492	1560	1604
493	1563	1601
494	1566	1597
495	1568	1593
496	1570	1589
497	1572	1585
498	1576	1583
499	1579	1579
500	1581	1575
501	1583	1571
502	1585	1566
503	1587	1562
504	1592	1561
505	1594	1557
506	1597	1553
507	1599	1549
508	1601	1545
509	1604	1541
510	1607	1538
511	1610	1535
512	1613	1531
513	1615	1527
514	1617	1523
515	1622	1521
516	1624	1517
517	1626	1513
518	1628	1509
519	1630	1505
520	1632	1501
521	1638	1500
522	1641	1496
523	1643	1492
524	1645	1488
525	1647	1484
526	1650	1481
527	1653	1478
528	1655	1474
529	1657	1470
530	1660	1466
531	1662	1462
532	1664	1458
533	1668	1455
534	1670	1451
535	1672	1447
536	1674	1444
537	1676	1440
538	1678	1435
539	1683	1434
540	1685	1430
541	1687	1426
542	1689	1422
543	1692	1418
544	1694	1414
545	1698	1412
546	1700	1408
547	1702	1404
548	1705	1400
549	1707	1396
550	1709	1392
551	1713	1391
552	1716	1387
553	1718	1383
554	1720	1379
555	1722	1375
556	1724	1371
557	1728	1369
558	1730	1365
559	1732	1361
560	1734	1357
561	1737	1353
562	1739	1349
563	1741	1346
564	1744	1343
565	1746	1339
566	1749	1335
567	1751	1331
568	1753	1328
569	1755	1324
570	1759	1322
571	1761	1318
572	1763	1314
573	1765	1310
574	1767	1306
575	1770	1302
576	1774	1300
577	1776	1296
578	1778	1293
579	1780	1289
580	1782	1285
581	1784	1281
582	1787	1278
583	1790	1275
584	1792	1271
585	1794	1268
586	1796	1264
587	1799	1260
588	1801	1256
589	1805	1254
590	1807	1250
591	1809	1247
592	1811	1243
593	1813	1239
594	1815	1235
595	1820	1233
596	1822	1230
597	1824	1226
598	1826	1222
599	1828	1219
600	1830	1215
601	1833	1212
602	1836	1209
603	1838	1205
604	1840	1201
605	1842	1198
606	1844	1194
607	1846	1190
608	1851	1188
609	1853	1184
610	1854	1180
611	1856	1177
612	1859	1173
613	1860	1169
614	1863	1166
615	1867	1163
616	1869	1160
617	1871	1156
618	1873	1153
619	1875	1149
620	1877	1145
621	1881	1143
622	1883	1139
623	1886	1136
624	1888	1133
625	1890	1129
626	1892	1126
627	1897	1123
628	1899	1120
629	1901	1116
630	1903	1113
631	1905	1109
632	1907	1106
633	1912	1103
634	1914	1100
635	1916	1096
636	1918	1093
637	1920	1089
638	1922	1086
639	1926	1083
640	1929	1080
641	1931	1076
642	1933	1073
643	1935	1069
644	1937	1066
645	1942	1064
646	1945	1061
647	1947	1058
648	1950	1054
649	1953	1051
650	1957	1049
651	1960	1046
652	1963	1043
653	1966	1040
654	1968	1036
655	1975	1035
656	1977	1032
657	1979	1029
658	1982	1025
659	1984	1022
660	1990	1021
661	1993	1017
662	1995	1014
663	1998	1011
664	2003	1009
665	2005	1005
666	2007	1002
667	2010	999
668	2012	995
669	2014	992
670	2019	990
671	2021	986
672	2024	983
673	2026	980
674	2028	976
675	2031	973
676	2035	971
677	2038	967
678	2040	964
679	2043	961
680	2045	958
681	2051	956
682	2053	953
683	2055	949
684	2058	946
685	2060	943
686	2066	941
687	2068	938
688	2070	934
689	2073	931
690	2075	928
691	2080	926
